freq,nocore,withcore
9.7656,0.101618,0.105066
12.8174,0.123363,0.129296
15.8691,0.143151,0.152066
20.1416,0.164926,0.178781
25.0244,0.187168,0.207453
29.9072,0.205496,0.228234
40.2832,0.230223,0.248519
50.0488,0.244574,0.247525
59.8145,0.254452,0.236156
75.0732,0.262871,0.212423
89.7217,0.265822,0.190647
114.7461,0.264362,0.161447
145.2637,0.257435,0.137714
180.0537,0.247028,0.117430
225.2197,0.230720,0.100127
300.2930,0.204502,0.082794
