"Latest: Time (s)","Latest: Potential (V)","Latest: Current (A)","FFT: Time - Frequency (Hz)","FFT: Potential - FFT"
0,1.46961212158,-0.0294711488073,0,0.0112849802329
0.0001,1.41506195068,-0.0329502993168,0.6103515625,2.25748523778
0.0002,1.35726928711,-0.0363983859825,1.220703125,2.3851881118
0.0003,1.2996673584,-0.0388834934893,1.8310546875,0.96495492657
0.0004,1.24187469482,-0.0418345586536,2.44140625,0.0688068862613
0.0005,1.1812210083,-0.0443196661604,3.0517578125,0.129362917812
0.0006,1.1173248291,-0.0473017951686,3.662109375,0.0509757037681
0.0007,1.05972290039,-0.0507498818342,4.2724609375,0.0294564674448
0.0008,0.998878479004,-0.053234989341,4.8828125,0.0289088545634
0.0009,0.941276550293,-0.0561860545054,5.4931640625,0.00499906336235
0.001,0.880432128906,-0.0596652050149,6.103515625,0.018340168703
0.0011,0.819778442383,-0.0626162701792,6.7138671875,0.00315771220349
0.0012,0.752830505371,-0.065101377686,7.32421875,0.0101485000717
0.0013,0.698280334473,-0.0680524428503,7.9345703125,0.0112188464804
0.0014,0.634384155273,-0.0705375503571,8.544921875,0.0149380058506
0.0015,0.57373046875,-0.0734886155215,9.1552734375,0.0157794088344
0.0016,0.510025024414,-0.0759737230283,9.765625,0.0106934965675
0.0017,0.45223236084,-0.0789558520364,10.3759765625,0.016809358009
0.0018,0.388526916504,-0.0814098956994,10.986328125,0.00436056033182
0.0019,0.324630737305,-0.0838950032062,11.5966796875,0.0182078224127
0.002,0.263977050781,-0.0868460683705,12.20703125,0.0182277676862
0.0021,0.200080871582,-0.0893311758773,12.8173828125,0.0163670050464
0.0022,0.139427185059,-0.0918162833841,13.427734375,0.0303884793274
0.0023,0.0755310058594,-0.0947673485484,14.0380859375,0.00763835413344
0.0024,0.0179290771484,-0.0972524560552,14.6484375,0.0399073411273
0.0025,-0.0429153442383,-0.0992405420607,15.2587890625,0.0416573157041
0.0026,-0.106620788574,-0.101694585724,15.869140625,0.0271156427096
0.0027,-0.167274475098,-0.10417969323,16.4794921875,0.0818436952447
0.0028,-0.228118896484,-0.106633736893,17.08984375,0.0282709286998
0.0029,-0.288772583008,-0.1091188444,17.7001953125,0.104708759881
0.003,-0.352668762207,-0.111106930406,18.310546875,0.139220644781
0.0031,-0.416374206543,-0.113560974069,18.9208984375,0.0541566623245
0.0032,-0.47721862793,-0.115549060074,19.53125,0.311246505889
0.0033,-0.540924072266,-0.118034167581,20.1416015625,0.196000510471
0.0034,-0.59871673584,-0.121979275748,20.751953125,0.481854042507
0.0035,-0.662422180176,-0.123470340252,21.3623046875,1.00861495208
0.0036,-0.72021484375,-0.125924383915,21.97265625,0.171525267304
0.0037,-0.786972045898,-0.12791246992,22.5830078125,4.08280085225
0.0038,-0.850677490234,-0.129900555926,23.193359375,6.90734364169
0.0039,-0.911521911621,-0.131857578087,23.8037109375,55.4708126202
0.004,-0.969123840332,-0.133845664093,24.4140625,123.883400745
0.0041,-1.02996826172,-0.135833750098,25.0244140625,155.284855297
0.0042,-1.08757019043,-0.137821836104,25.634765625,118.910542455
0.0043,-1.14841461182,-0.139778858265,26.2451171875,50.1933620319
0.0044,-1.21212005615,-0.141766944271,26.85546875,4.76599760505
0.0045,-1.26991271973,-0.143258008775,27.4658203125,3.92135033268
0.0046,-1.32751464844,-0.145712052438,28.076171875,0.45240992551
0.0047,-1.38835906982,-0.147203116942,28.6865234375,0.883557085789
0.0048,-1.44596099854,-0.148694181446,29.296875,0.531833655487
0.0049,-1.5007019043,-0.15018524595,29.9072265625,0.125563525749
0.005,-1.56745910645,-0.15164524661,30.517578125,0.303589826379
0.0051,-1.61914825439,-0.153633332616,31.1279296875,0.0857292417888
0.0052,-1.67694091797,-0.154627375618,31.73828125,0.118946024806
0.0053,-1.73454284668,-0.156118440123,32.3486328125,0.114605953606
0.0054,-1.79233551025,-0.157609504627,32.958984375,0.013857139903
0.0055,-1.84688568115,-0.159069505287,33.5693359375,0.0770055206682
0.0056,-1.8985748291,-0.160560569791,34.1796875,0.0352492962768
0.0057,-1.95636749268,-0.161554612794,34.7900390625,0.0336139233505
0.0058,-2.01091766357,-0.163045677298,35.400390625,0.0409465794994
0.0059,-2.06565856934,-0.164505677958,36.0107421875,0.00302738496024
0.006,-2.12020874023,-0.165499720961,36.62109375,0.0278206693926
0.0061,-2.17189788818,-0.166493763963,37.2314453125,0.0204492876387
0.0062,-2.22053527832,-0.167487806966,37.841796875,0.0125768433049
0.0063,-2.27222442627,-0.168481849969,38.4521484375,0.0207123139643
0.0064,-2.32372283936,-0.169475892972,39.0625,0.00256379665788
0.0065,-2.38151550293,-0.170469935974,39.6728515625,0.0126578084998
0.0066,-2.43320465088,-0.171432915133,40.283203125,0.0106714097919
0.0067,-2.47859954834,-0.172426958136,40.8935546875,0.00390803600811
0.0068,-2.53028869629,-0.173421001139,41.50390625,0.0104735778699
0.0069,-2.57892608643,-0.17391802264,42.1142578125,0.00487374660065
