"Latest: Time (s)","Latest: Potential (V)","Latest: Current (A)","FFT: Time - Frequency (Hz)","FFT: Potential - FFT"
0,-2.30255126953,-0.0339443423195,0,0.0141641844797
0.0001,-2.65789031982,-0.0596652050149,0.6103515625,0.282886095224
0.0002,-2.97985076904,-0.0848890462089,1.220703125,0.300467573041
0.0003,-3.26232910156,-0.107627779896,1.8310546875,0.122002908922
0.0004,-3.49922180176,-0.130397577427,2.44140625,0.0104827280954
0.0005,-3.69968414307,-0.150682267451,3.0517578125,0.0192659049128
0.0006,-3.84540557861,-0.168481849969,3.662109375,0.00320812365167
0.0007,-3.95469665527,-0.183330367322,4.2724609375,0.00170227221964
0.0008,-4.00638580322,-0.197153777829,4.8828125,0.00679396072144
0.0009,-4.00638580322,-0.207063144012,5.4931640625,0.00117646980925
0.001,-3.95774841309,-0.21498442419,6.103515625,0.00607450453089
0.0011,-3.85761260986,-0.218929532357,6.7138671875,0.00459101174017
0.0012,-3.71189117432,-0.220917618362,7.32421875,0.00438863433695
0.0013,-3.52039337158,-0.219426553858,7.9345703125,0.00462633773459
0.0014,-3.28350067139,-0.21498442419,8.544921875,0.00472745297792
0.0015,-3.01322937012,-0.208057187015,9.1552734375,0.00556328823789
0.0016,-2.69432067871,-0.198644842333,9.765625,0.0042037376688
0.0017,-2.35118865967,-0.186281432486,10.3759765625,0.00162763766148
0.0018,-1.97448730469,-0.169972914473,10.986328125,0.00417888806769
0.0019,-1.57356262207,-0.152639289613,11.5966796875,0.00393686962466
0.002,-1.14841461182,-0.133845664093,12.20703125,0.00243051392231
0.0021,-0.714111328125,-0.111106930406,12.8173828125,0.00238338707161
0.0022,-0.270652770996,-0.0883371328746,13.427734375,0.00196131472283
0.0023,0.16975402832,-0.0646043561846,14.0380859375,0.00151882561118
0.0024,0.613212585449,-0.0378894504865,14.6484375,0.00177020470242
0.0025,1.05056762695,-0.0121685877912,15.2587890625,0.0012878865048
0.0026,1.47266387939,0.0135522749042,15.869140625,0.00072141404513
0.0027,1.8705368042,0.0392731375996,16.4794921875,0.00119650175025
0.0028,2.2533416748,0.064994000295,17.08984375,0.0017076123629
0.0029,2.60562896729,0.0907148629904,17.7001953125,0.000877252776047
0.003,2.91843414307,0.114975725025,18.310546875,0.00109102118925
0.0031,3.19175720215,0.138708501715,18.9208984375,0.00376180703223
0.0032,3.42273712158,0.159490213241,19.53125,0.00648762960536
0.0033,3.61404418945,0.179277881764,20.1416015625,0.00709040836858
0.0034,3.75671386719,0.197077464281,20.751953125,0.00496785457185
0.0035,3.84788513184,0.211925981635,21.3623046875,0.00285891285258
0.0036,3.89652252197,0.224786412982,21.97265625,0.0040961045767
0.0037,3.89041900635,0.23416769382,22.5830078125,0.00570409862915
0.0038,3.82957458496,0.241094930996,23.193359375,0.00581150462722
0.0039,3.72333526611,0.245040039163,23.8037109375,0.00470900134106
0.004,3.56845855713,0.246034082165,24.4140625,0.00325791737256
0.0041,3.3618927002,0.244077060004,25.0244140625,0.0026333794574
0.0042,3.12194824219,0.239603866492,25.634765625,0.00320923818741
0.0043,2.83946990967,0.232179607815,26.2451171875,0.00318508456617
0.0044,2.51445770264,0.221804283974,26.85546875,0.00283803061923
0.0045,2.15301513672,0.208446831125,27.4658203125,0.00318395308694
0.0046,1.77040100098,0.192138313112,28.076171875,0.00358076563233
0.0047,1.36032104492,0.173810645249,28.6865234375,0.00397890463457
0.0048,0.929069519043,0.154519998227,29.296875,0.00364810500349
0.0049,0.491714477539,0.132775307543,29.9072265625,0.0020637541519
0.005,0.0482559204102,0.108545509352,30.517578125,0.00241623742326
0.0051,-0.398254394531,0.0842846473165,31.1279296875,0.00383296387721
0.0052,-0.844573974609,0.0585637846211,31.73828125,0.00546681907661
0.0053,-1.28211975098,0.0323459004244,32.3486328125,0.00553963400486
0.0054,-1.69811248779,0.00612801622765,32.958984375,0.00271173456719
0.0055,-2.0959854126,-0.0195928464677,33.5693359375,0.0017364655236
0.0056,-2.46963500977,-0.0458107306645,34.1796875,0.00401121359086
0.0057,-2.81276702881,-0.0710345718585,34.7900390625,0.00313376099276
0.0058,-3.11050415039,-0.0947673485484,35.400390625,0.000727706175883
0.0059,-3.37162017822,-0.117537146079,36.0107421875,0.00192203704892
