"Latest: Time (s)","Latest: Potential (V)","Latest: Current (A)","FFT: Time - Frequency (Hz)","FFT: Potential - FFT"
0,-2.39372253418,-0.1091188444,0,0.0144118456108
0.0001,-2.10208892822,-0.108124801397,0.6103515625,0.340301797265
0.0002,-1.780128479,-0.105670757735,1.220703125,0.359916975591
0.0003,-1.44596099854,-0.102688628726,1.8310546875,0.14459595327
0.0004,-1.09977722168,-0.098246499058,2.44140625,0.0130297517448
0.0005,-0.741386413574,-0.092779262543,3.0517578125,0.0201987941161
0.0006,-0.376892089844,-0.0868460683705,3.662109375,0.00818928779504
0.0007,-0.0246047973633,-0.0804158526967,4.2724609375,0.00460280546765
0.0008,0.336837768555,-0.0725256363626,4.8828125,0.00962978498357
0.0009,0.701332092285,-0.0646043561846,5.4931640625,0.00255291346205
0.001,1.05056762695,-0.0546949900013,6.103515625,0.00332194255881
0.0011,1.39675140381,-0.0453137091631,6.7138671875,0.000426903681205
0.0012,1.73397064209,-0.0354043429797,7.32421875,0.000900670736404
0.0013,2.04677581787,-0.0250290191389,7.9345703125,0.00535308669471
0.0014,2.35347747803,-0.014653695298,8.544921875,0.00787053483872
0.0015,2.62985229492,-0.00424730761324,9.1552734375,0.00711345059778
0.0016,2.8881072998,0.00662503772901,9.765625,0.00505156055601
0.0017,3.11889648438,0.0179944045726,10.3759765625,0.00757417257515
0.0018,3.3224105835,0.0288978137587,10.986328125,0.00865964578709
0.0019,3.50456237793,0.0392731375996,11.5966796875,0.00489070706355
0.002,3.65047454834,0.0501454829418,12.20703125,0.00145139425294
0.0021,3.76892089844,0.0605518706266,12.8173828125,0.00224169229574
0.0022,3.85398864746,0.0709271944675,13.427734375,0.00118778389732
0.0023,3.91159057617,0.0808365606508,14.0380859375,0.00190518725431
0.0024,3.93295288086,0.0897208199876,14.6484375,0.00297115248323
0.0025,3.92074584961,0.0981391216669,15.2587890625,0.00267586631176
0.0026,3.87210845947,0.105563380343,15.869140625,0.00203233409147
0.0027,3.79619598389,0.112490617519,16.4794921875,0.00202158844783
0.0028,3.68690490723,0.118423811691,17.08984375,0.00251326617969
0.0029,3.54709625244,0.123859984362,17.7001953125,0.00147516855404
0.003,3.37409973145,0.128799135532,18.310546875,0.00130824685951
0.0031,3.17668914795,0.131284243039,18.9208984375,0.00391292068084
0.0032,2.94876098633,0.134732329705,19.53125,0.00463812046704
0.0033,2.69680023193,0.136223394209,20.1416015625,0.00388827579897
0.0034,2.4263381958,0.136223394209,20.751953125,0.00291353819859
0.0035,2.12574005127,0.135229351206,21.3623046875,0.00197458919418
0.0036,1.81293487549,0.133769350546,21.97265625,0.00210199835419
0.0037,1.47876739502,0.129793178535,22.5830078125,0.00232598893551
0.0038,1.13868713379,0.126345091869,23.193359375,0.00045707238831
0.0039,0.79231262207,0.121405940699,23.8037109375,0.00321041500245
0.004,0.431060791016,0.115938704184,24.4140625,0.00573415348705
0.0041,0.0635147094727,0.109508488511,25.0244140625,0.00487318444907
0.0042,-0.29182434082,0.102084229834,25.634765625,0.00166268556104
0.0043,-0.653266906738,0.0941940134999,26.2451171875,0.0020563348186
0.0044,-1.01776123047,0.0857757118206,26.85546875,0.00342683756772
0.0045,-1.36394500732,0.0763633671386,27.4658203125,0.00340504251317
0.0046,-1.70726776123,0.0659880432977,28.076171875,0.00269158894523
0.0047,-2.03227996826,0.0561097409582,28.6865234375,0.00223170019117
0.0048,-2.33898162842,0.0457033532734,29.296875,0.00244347599312
0.0049,-2.62451171875,0.0348310079312,29.9072265625,0.00288761187341
0.005,-2.89783477783,0.0234616410876,30.517578125,0.00359219785928
0.0051,-3.14083099365,0.0130552534029,31.1279296875,0.00444452352056
0.0052,-3.35941314697,0.00168588655924,31.73828125,0.00467802201124
0.0053,-3.55091094971,-0.00868943728165,32.3486328125,0.00405755137349
0.0054,-3.71189117432,-0.0195928464677,32.958984375,0.00385586011253
0.0055,-3.84540557861,-0.0294711488073,33.5693359375,0.00401102612681
0.0056,-3.95469665527,-0.039877536492,34.1796875,0.00361343832096
0.0057,-4.02164459229,-0.0497558388315,34.7900390625,0.00391877332252
0.0058,-4.05807495117,-0.0596652050149,35.400390625,0.00489553399034
0.0059,-4.06112670898,-0.0680524428503,36.0107421875,0.00501810138106
0.006,-4.03366088867,-0.0759737230283,36.62109375,0.00422024778486
0.0061,-3.96690368652,-0.0838950032062,37.2314453125,0.0030738349802
0.0062,-3.8667678833,-0.0898281973787,37.841796875,0.0021723493897
0.0063,-3.74221801758,-0.0957613915512,38.4521484375,0.00225141725316
0.0064,-3.58428955078,-0.10020352122,39.0625,0.0028188452392
0.0065,-3.39584350586,-0.10417969323,39.6728515625,0.00377535276363
0.0066,-3.18946838379,-0.107130758395,40.283203125,0.00508142944622
0.0067,-2.94952392578,-0.1091188444,40.8935546875,0.00529062723571
0.0068,-2.68211364746,-0.109615865902,41.50390625,0.00404310991718
0.0069,-2.39963531494,-0.1091188444,42.1142578125,0.00290071275035
0.007,-2.0959854126,-0.107627779896,42.724609375,0.00298491436086
0.0071,-1.77402496338,-0.106136715392,43.3349609375,0.00319164511029
0.0072,-1.43394470215,-0.102688628726,43.9453125,0.00238425145186
0.0073,-1.09062194824,-0.098246499058,44.5556640625,0.00132769699651
0.0074,-0.729179382324,-0.092779262543,45.166015625,0.00107296213848
0.0075,-0.367736816406,-0.0868460683705,45.7763671875,0.00089026099057
0.0076,-0.00934600830078,-0.0799188311953,46.38671875,0.00356426628682
0.0077,0.345993041992,-0.0725256363626,46.9970703125,0.00507684377841
0.0078,0.70743560791,-0.0641073346833,47.607421875,0.00451675943152
0.0079,1.0627746582,-0.0546949900013,48.2177734375,0.0029594356286
0.008,1.40590667725,-0.0448166876618,48.828125,0.00186846333692
0.0081,1.74007415771,-0.0349073214784,49.4384765625,0.00188444440873
0.0082,2.05898284912,-0.0250290191389,50.048828125,0.00200605926491
0.0083,2.36263275146,-0.014653695298,50.6591796875,0.00139737799766
0.0084,2.63900756836,-0.00375028611188,51.26953125,0.00035284316862
0.0085,2.89726257324,0.00712205923037,51.8798828125,0.00241496476181
0.0086,3.125,0.0179944045726,52.490234375,0.00364377696907
0.0087,3.32851409912,0.0288978137587,53.1005859375,0.00448703453203
0.0088,3.50761413574,0.039770159101,53.7109375,0.00493621488347
0.0089,3.65352630615,0.0506425044432,54.3212890625,0.00412502404407
0.009,3.77197265625,0.0615459136293,54.931640625,0.00254597406802
0.0091,3.85704040527,0.0714242159688,55.5419921875,0.00154855968953
0.0092,3.91159057617,0.0813335821522,56.15234375,0.00271537272268
0.0093,3.93600463867,0.090217841489,56.7626953125,0.00452190881698
0.0094,3.92074584961,0.0981391216669,57.373046875,0.00557710758652
0.0095,3.86905670166,0.106060401845,57.9833984375,0.00410060848415
0.0096,3.79314422607,0.11298763902,58.59375,0.0039631313716
0.0097,3.6808013916,0.119417854694,59.2041015625,0.0124245982477
0.0098,3.54118347168,0.124357005864,59.814453125,0.0182875131346
0.0099,3.36799621582,0.128799135532,60.4248046875,0.0163355489429
0.01,3.16753387451,0.132775307543,61.03515625,0.00881320465251
0.0101,2.94284820557,0.135229351206,61.6455078125,0.00247874138676
0.0102,2.69069671631,0.136223394209,62.255859375,0.00163196545138
