"Latest: Time (s)","Latest: Potential (V)","Latest: Current (A)","FFT: Time - Frequency (Hz)","FFT: Potential - FFT"
0,0.604057312012,-0.0463077521658,0,0.00537837381172
0.0001,0.531196594238,-0.0502528603329,0.6103515625,2.00542687406
0.0002,0.455284118652,-0.0546949900013,1.220703125,2.1211449836
0.0003,0.376319885254,-0.0586711620122,1.8310546875,0.857029131131
0.0004,0.306510925293,-0.0626162701792,2.44140625,0.0667588981533
0.0005,0.230598449707,-0.0665924421901,3.0517578125,0.120159564839
0.0006,0.154495239258,-0.0700405288558,3.662109375,0.042801566215
0.0007,0.0846862792969,-0.0739856370228,4.2724609375,0.0241726022987
0.0008,0.0118255615234,-0.0774647875323,4.8828125,0.0258928730227
0.0009,-0.0640869140625,-0.080912874198,5.4931640625,0.00428827303273
0.001,-0.136947631836,-0.0843920247075,6.103515625,0.0130695154552
0.0011,-0.209808349609,-0.0888341543759,6.7138671875,0.00804562814918
0.0012,-0.285720825195,-0.0918162833841,7.32421875,0.01384029907
0.0013,-0.358772277832,-0.0952643700498,7.9345703125,0.00337542265498
0.0014,-0.434684753418,-0.0987435205593,8.544921875,0.00447713322364
0.0015,-0.507545471191,-0.102191607225,9.1552734375,0.0137848748256
0.0016,-0.580406188965,-0.105173736233,9.765625,0.00815626806875
0.0017,-0.656318664551,-0.1091188444,10.3759765625,0.00913024155865
0.0018,-0.729179382324,-0.112100973408,10.986328125,0.00291061276935
0.0019,-0.808143615723,-0.115549060074,11.5966796875,0.00811760306898
0.002,-0.881195068359,-0.118531189082,12.20703125,0.0077050407077
0.0021,-0.957107543945,-0.122476297249,12.8173828125,0.00790735402409
0.0022,-1.02386474609,-0.125924383915,13.427734375,0.0115028788433
0.0023,-1.09367370605,-0.128906512923,14.0380859375,0.0085991007346
0.0024,-1.16348266602,-0.131857578087,14.6484375,0.0127613437789
0.0025,-1.24244689941,-0.135336728597,15.2587890625,0.0149624555472
0.0026,-1.30939483643,-0.138287793761,15.869140625,0.00885864933137
0.0027,-1.37920379639,-0.140772901268,16.4794921875,0.0197609552543
0.0028,-1.44901275635,-0.143755030276,17.08984375,0.0067094709452
0.0029,-1.51596069336,-0.146706095441,17.7001953125,0.0215047077917
0.003,-1.59187316895,-0.149191202947,18.310546875,0.0260983458892
0.0031,-1.65863037109,-0.151179288953,18.9208984375,0.00923364114387
0.0032,-1.73149108887,-0.154130354117,19.53125,0.0429433378105
0.0033,-1.79538726807,-0.156615461624,20.1416015625,0.0241212093092
0.0034,-1.85604095459,-0.159069505287,20.751953125,0.0458016399933
0.0035,-1.92279815674,-0.161554612794,21.3623046875,0.0702637191925
0.0036,-1.99584960938,-0.163542698799,21.97265625,0.00860089800694
0.0037,-2.0565032959,-0.165996742462,22.5830078125,0.120513115611
0.0038,-2.11734771729,-0.167984828468,23.193359375,0.0900523741818
0.0039,-2.18105316162,-0.169972914473,23.8037109375,0.122068812985
0.004,-2.24475860596,-0.172426958136,24.4140625,0.283007489543
0.0041,-2.30560302734,-0.174415044141,25.0244140625,0.0305591551427
0.0042,-2.37236022949,-0.175906108645,25.634765625,0.568871014765
0.0043,-2.43015289307,-0.177863130807,26.2451171875,0.699565845266
0.0044,-2.48775482178,-0.180348238314,26.85546875,0.773774499582
0.0045,-2.54554748535,-0.181839302818,27.4658203125,3.56984532149
0.0046,-2.60009765625,-0.182833345821,28.076171875,2.25575305617
0.0047,-2.65789031982,-0.185287389484,28.6865234375,43.15915588
0.0048,-2.71263122559,-0.187275475489,29.296875,111.449520284
0.0049,-2.77328491211,-0.188766539993,29.9072265625,154.070630954
0.005,-2.82802581787,-0.189760582996,30.517578125,129.897065131
0.0051,-2.87952423096,-0.190723562155,31.1279296875,62.7586560994
0.0052,-2.92510986328,-0.192214626659,31.73828125,10.2429396882
0.0053,-2.97985076904,-0.193705691163,32.3486328125,4.1391394553
0.0054,-3.02848815918,-0.194699734166,32.958984375,0.27426426437
0.0055,-3.07693481445,-0.195196755667,33.5693359375,1.14618309185
0.0056,-3.12252044678,-0.19619079867,34.1796875,0.38499857093
0.0057,-3.1681060791,-0.197153777829,34.7900390625,0.286493105208
0.0058,-3.21369171143,-0.198147820831,35.400390625,0.308644783822
0.0059,-3.25927734375,-0.198644842333,36.0107421875,0.00873901424517
0.006,-3.30181121826,-0.199638885335,36.62109375,0.160721548821
0.0061,-3.34129333496,-0.199638885335,37.2314453125,0.0881988738914
0.0062,-3.38382720947,-0.200632928338,37.841796875,0.0480702366941
0.0063,-3.42330932617,-0.200632928338,38.4521484375,0.0833186340821
0.0064,-3.45973968506,-0.200632928338,39.0625,0.0118840041237
0.0065,-3.49617004395,-0.201129949839,39.6728515625,0.0457351377305
0.0066,-3.53870391846,-0.201626971341,40.283203125,0.036490008681
0.0067,-3.57208251953,-0.201129949839,40.8935546875,0.0129611065883
0.0068,-3.60240936279,-0.201626971341,41.50390625,0.03275609307
0.0069,-3.63883972168,-0.201129949839,42.1142578125,0.00992857842798
0.007,-3.6693572998,-0.201129949839,42.724609375,0.0178367593855
0.0071,-3.69968414307,-0.201129949839,43.3349609375,0.0189635109132
0.0072,-3.72695922852,-0.200632928338,43.9453125,0.00392742465384
0.0073,-3.75442504883,-0.200135906837,44.5556640625,0.0151597448615
0.0074,-3.77864837646,-0.200135906837,45.166015625,0.00717228721296
0.0075,-3.80592346191,-0.199141863834,45.7763671875,0.00741207425114
0.0076,-3.82423400879,-0.198147820831,46.38671875,0.0132241181602
0.0077,-3.84845733643,-0.19765079933,46.9970703125,0.00554192692676
0.0078,-3.86981964111,-0.197153777829,47.607421875,0.00187607818849
0.0079,-3.89404296875,-0.19619079867,48.2177734375,0.0110262852475
0.008,-3.91521453857,-0.195196755667,48.828125,0.00764205843555
0.0081,-3.93047332764,-0.194699734166,49.4384765625,0.00527442801944
0.0082,-3.9457321167,-0.193208669662,50.048828125,0.00329312091134
0.0083,-3.9608001709,-0.19271164816,50.6591796875,0.00604083758267
0.0084,-3.97300720215,-0.191220583656,51.26953125,0.00424968087441
0.0085,-3.9852142334,-0.189760582996,51.8798828125,0.00270681463987
0.0086,-3.99131774902,-0.188766539993,52.490234375,0.00518558473964
0.0087,-4.0002822876,-0.187275475489,53.1005859375,0.00364707901688
0.0088,-4.00943756104,-0.185287389484,53.7109375,0.00555229547191
0.0089,-4.01248931885,-0.183330367322,54.3212890625,0.00105574180346
0.009,-4.01554107666,-0.181839302818,54.931640625,0.00101293466824
0.0091,-4.01859283447,-0.179851216812,55.5419921875,0.00426433909938
0.0092,-4.01859283447,-0.178360152308,56.15234375,0.00116465659401
0.0093,-4.02164459229,-0.176403130147,56.7626953125,0.00303275216614
0.0094,-4.01859283447,-0.174912065643,57.373046875,0.00536991314065
0.0095,-4.01554107666,-0.172426958136,57.9833984375,0.00345084486553
0.0096,-4.01554107666,-0.170469935974,58.59375,0.0427154030705
0.0097,-4.00638580322,-0.168481849969,59.2041015625,0.118165627709
0.0098,-4.0002822876,-0.166493763963,59.814453125,0.175746238576
0.0099,-3.99131774902,-0.164505677958,60.4248046875,0.15977179458
0.01,-3.9852142334,-0.162548655796,61.03515625,0.0829755980266
0.0101,-3.96995544434,-0.16006354829,61.6455078125,0.0158426922476
0.0102,-3.95774841309,-0.157609504627,62.255859375,0.0065492635246
0.0103,-3.94268035889,-0.15512439712,62.8662109375,0.00360580523143
0.0104,-3.93047332764,-0.153136311114,63.4765625,0.00294036253961
0.0105,-3.91521453857,-0.150682267451,64.0869140625,0.000729195588578
0.0106,-3.89404296875,-0.147700138443,64.697265625,0.0013899485391
0.0107,-3.8667678833,-0.145215030936,65.3076171875,0.00168701257176
0.0108,-3.84845733643,-0.142263965772,65.91796875,0.00168674754874
0.0109,-3.82423400879,-0.139778858265,66.5283203125,0.00137002003361
0.011,-3.79981994629,-0.136827793101,67.138671875,0.00265931914005
0.0111,-3.77864837646,-0.133845664093,67.7490234375,0.00288286353462
0.0112,-3.75137329102,-0.13139162043,68.359375,0.00373907718213
0.0113,-3.7239074707,-0.128906512923,68.9697265625,0.00400418289481
0.0114,-3.69968414307,-0.125427362414,69.580078125,0.00299482166186
0.0115,-3.6693572998,-0.121979275748,70.1904296875,0.00242912312025
0.0116,-3.63883972168,-0.118034167581,70.80078125,0.000991488483413
0.0117,-3.60546112061,-0.114555017071,71.4111328125,0.000640733198907
0.0118,-3.57513427734,-0.111106930406,72.021484375,0.000527252198895
0.0119,-3.53870391846,-0.108124801397,72.6318359375,0.00107300804386
0.012,-3.49922180176,-0.105173736233,73.2421875,0.000656042262575
0.0121,-3.45973968506,-0.101197564222,73.8525390625,0.000559317593608
0.0122,-3.42025756836,-0.098246499058,74.462890625,0.000653750406837
0.0123,-3.38382720947,-0.0947673485484,75.0732421875,0.000528115257753
0.0124,-3.34129333496,-0.0918162833841,75.68359375,0.000388996257469
0.0125,-3.29570770264,-0.0878401113732,76.2939453125,0.00130313584274
0.0126,-3.25927734375,-0.0843920247075,76.904296875,0.00164343368571
0.0127,-3.21063995361,-0.080912874198,77.5146484375,0.00151260323534
0.0128,-3.16505432129,-0.0774647875323,78.125,0.00159644702417
0.0129,-3.11946868896,-0.0739856370228,78.7353515625,0.00170961725308
0.013,-3.07102203369,-0.0700405288558,79.345703125,0.00268216235661
0.0131,-3.02238464355,-0.0665924421901,79.9560546875,0.00290029168637
0.0132,-2.97069549561,-0.0631132916806,80.56640625,0.00182001363621
0.0133,-2.92205810547,-0.0591681835135,81.1767578125,0.00142515705919
0.0134,-2.8736114502,-0.0546949900013,81.787109375,0.00142154108991
0.0135,-2.81887054443,-0.0512469033356,82.3974609375,0.000702734110247
0.0136,-2.76412963867,-0.0473017951686,83.0078125,0.000602275267024
0.0137,-2.70652770996,-0.043822644659,83.6181640625,0.00175390538668
0.0138,-2.6517868042,-0.039877536492,84.228515625,0.00285695683754
0.0139,-2.59113311768,-0.0359013644811,84.8388671875,0.00267007562044
0.014,-2.53639221191,-0.0319562563141,85.44921875,0.00205379564715
0.0141,-2.47859954834,-0.0275141266457,86.0595703125,0.00187263394857
0.0142,-2.414894104,-0.0240349761361,86.669921875,0.00174322400929
0.0143,-2.35729217529,-0.0205868894705,87.2802734375,0.00156099413836
0.0144,-2.29034423828,-0.0166107174596,87.890625,0.00160771400769
0.0145,-2.22969055176,-0.0126656092925,88.5009765625,0.0177658334389
0.0146,-2.16579437256,-0.00868943728165,89.111328125,0.0624410573751
0.0147,-2.10514068604,-0.0047443291146,89.7216796875,0.102607797244
0.0148,-2.04124450684,-0.000302199446196,90.33203125,0.100568022987
0.0149,-1.9775390625,0.00317695106332,90.9423828125,0.0584703364842
0.015,-1.90467834473,0.00712205923037,91.552734375,0.0150226487196
0.0151,-1.84078216553,0.0115641888988,92.1630859375,0.00279985730388
0.0152,-1.77402496338,0.016037382411,92.7734375,0.00170047599854
0.0153,-1.70726776123,0.0194854690767,93.3837890625,0.00117555920441
0.0154,-1.64051055908,0.0229646195862,93.994140625,0.00202716720617
0.0155,-1.57051086426,0.0274067492546,94.6044921875,0.00425070356601
0.0156,-1.5007019043,0.0313518574217,95.21484375,0.00528338515979
0.0157,-1.42478942871,0.0353280294325,95.8251953125,0.00485308388574
0.0158,-1.35803222656,0.0392731375996,96.435546875,0.00310360494901
0.0159,-1.28803253174,0.0432493096105,97.0458984375,0.00117813809142
0.016,-1.21822357178,0.0471944177775,97.65625,0.00221172349081
0.0161,-1.14231109619,0.0511395259446,98.2666015625,0.00323056200359
0.0162,-1.06945037842,0.0546186764541,98.876953125,0.00248324868021
0.0163,-0.999641418457,0.0590608061225,99.4873046875,0.000609470767242
0.0164,-0.929641723633,0.062539956632,100.09765625,0.000726291203171
0.0165,-0.853729248047,0.0664850647991,100.708007812,0.000792980573478
0.0166,-0.771713256836,0.0714242159688,101.318359375,0.000791841001223
0.0167,-0.698852539062,0.0749033664783,101.928710938,0.00163359783979
0.0168,-0.625991821289,0.078351453144,102.5390625,0.00246330718723
0.0169,-0.553131103516,0.0827935828124,103.149414062,0.00325646164626
0.017,-0.480270385742,0.0862727333219,103.759765625,0.00343308314731
0.0171,-0.407218933105,0.090217841489,104.370117188,0.00313367474284
0.0172,-0.328254699707,0.0941940134999,104.98046875,0.00379994284415
0.0173,-0.255393981934,0.0976421001656,105.590820312,0.00490808493128
0.0174,-0.179481506348,0.101121250675,106.201171875,0.00527396890005
0.0175,-0.103569030762,0.105066358842,106.811523438,0.00530060248803
0.0176,-0.0307083129883,0.108545509352,107.421875,0.00493450722293
0.0177,0.0421524047852,0.111993596017,108.032226562,0.0037884911852
0.0178,0.115013122559,0.115938704184,108.642578125,0.0033065207033
0.0179,0.188064575195,0.118920833193,109.252929688,0.0050578175914
0.018,0.260925292969,0.122368919858,109.86328125,0.00745604972139
0.0181,0.333786010742,0.125848070368,110.473632812,0.00879669476054
0.0182,0.415802001953,0.129296157033,111.083984375,0.00775719793364
0.0183,0.485610961914,0.133272329044,111.694335938,0.00543489361273
0.0184,0.558471679688,0.13672041571,112.3046875,0.00283424318575
0.0185,0.634384155273,0.14019956622,112.915039062,0.00191560972781
0.0186,0.704383850098,0.143647652885,113.525390625,0.00719693333708
0.0187,0.783348083496,0.146629781893,114.135742188,0.00848326585334
0.0188,0.85620880127,0.149580847058,114.74609375,0.0042430353454
0.0189,0.92601776123,0.153059997567,115.356445312,0.00266398890509
0.019,0.995826721191,0.156011062732,115.966796875,0.00833347574214
0.0191,1.06887817383,0.15899319174,116.577148438,0.0107890785721
0.0192,1.13868713379,0.161447235403,117.1875,0.0103033184527
0.0193,1.21459960938,0.164926385912,117.797851562,0.00758870586814
0.0194,1.28440856934,0.167380429575,118.408203125,0.0029740881044
0.0195,1.3542175293,0.170362558583,119.018554688,0.0120481530915
0.0196,1.42421722412,0.17284766609,119.62890625,0.0209832859218
0.0197,1.49097442627,0.175798731254,120.239257812,0.0204625969045
0.0198,1.56383514404,0.178283838761,120.849609375,0.0113332169842
0.0199,1.633644104,0.180737882424,121.459960938,0.00178011837416
0.02,1.6975402832,0.183222989931,122.0703125,0.00371596917649
0.0201,1.76429748535,0.185708097438,122.680664062,0.00384749071639
0.0202,1.8310546875,0.188162141101,123.291015625,0.00247705925048
0.0203,1.8949508667,0.190150227106,123.901367188,0.00105294038943
0.0204,1.96170806885,0.192635334613,124.51171875,0.00130021442628
0.0205,2.02560424805,0.195586399777,125.122070312,0.0019133299186
0.0206,2.0923614502,0.197077464281,125.732421875,0.00263079419345
0.0207,2.15301513672,0.199531507944,126.342773438,0.0039317493809
0.0208,2.21080780029,0.202016615451,126.953125,0.00514527843161
0.0209,2.268409729,0.203507679955,127.563476562,0.00507366993602
0.021,2.33840942383,0.205495765961,128.173828125,0.00386696900423
0.0211,2.39906311035,0.207452788122,128.784179688,0.00304413287606
0.0212,2.45685577393,0.208943852626,129.39453125,0.00328351281201
0.0213,2.51140594482,0.21043491713,130.004882812,0.00365937066631
